"Family","ParameterName","ParameterValue","Seed","Protocol","RuntimeSeconds","SourceCheckpoint"
"Hayward","ell",0.3,6,"Original matched-flat KNN",144.3423192,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p3\seed_06.mx"
"Hayward","ell",0.3,7,"Original matched-flat KNN",116.5302261,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p3\seed_07.mx"
"Hayward","ell",0.3,8,"Original matched-flat KNN",145.2766848,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p3\seed_08.mx"
"Hayward","ell",0.3,9,"Original matched-flat KNN",140.1005579,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p3\seed_09.mx"
"Hayward","ell",0.3,10,"Original matched-flat KNN",181.2810518,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p3\seed_10.mx"
"Bardeen","g",0.2,1,"Original matched-flat KNN",354.6432146,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_01.mx"
"Bardeen","g",0.2,2,"Original matched-flat KNN",358.4462535,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_02.mx"
"Bardeen","g",0.2,3,"Original matched-flat KNN",446.8065477,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_03.mx"
"Bardeen","g",0.2,4,"Original matched-flat KNN",396.5538151,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_04.mx"
"Bardeen","g",0.2,5,"Original matched-flat KNN",427.1588846,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_05.mx"
"Bardeen","g",0.2,6,"Original matched-flat KNN",697.4589499,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_06.mx"
"Bardeen","g",0.2,7,"Original matched-flat KNN",1099.8880857,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_07.mx"
"Bardeen","g",0.2,8,"Original matched-flat KNN",708.7815758,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_08.mx"
"Bardeen","g",0.2,9,"Original matched-flat KNN",891.1789594,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_09.mx"
"Bardeen","g",0.2,10,"Original matched-flat KNN",919.9089185,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_10.mx"
"Hayward","ell",0.2,1,"Original matched-flat KNN",767.6728922,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\anchor\hayward\ell_0p2\seed_01.mx"
"Hayward","ell",0.2,2,"Original matched-flat KNN",746.5113268,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\anchor\hayward\ell_0p2\seed_02.mx"
"Hayward","ell",0.2,3,"Original matched-flat KNN",482.7776575,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\anchor\hayward\ell_0p2\seed_03.mx"
"Hayward","ell",0.2,4,"Original matched-flat KNN",700.7860257,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\anchor\hayward\ell_0p2\seed_04.mx"
"Hayward","ell",0.2,5,"Original matched-flat KNN",676.0922409,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\anchor\hayward\ell_0p2\seed_05.mx"
"Hayward","ell",0.2,6,"Original matched-flat KNN",468.8316348,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\anchor\hayward\ell_0p2\seed_06.mx"
"Hayward","ell",0.2,7,"Original matched-flat KNN",544.2291544,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\anchor\hayward\ell_0p2\seed_07.mx"
"Hayward","ell",0.2,8,"Original matched-flat KNN",621.9738939,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\anchor\hayward\ell_0p2\seed_08.mx"
"Hayward","ell",0.2,9,"Original matched-flat KNN",395.8309582,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\anchor\hayward\ell_0p2\seed_09.mx"
"Hayward","ell",0.2,10,"Original matched-flat KNN",455.3844683,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\anchor\hayward\ell_0p2\seed_10.mx"
