"Family","ParameterName","ParameterValue","Seed","Protocol","N","k","GraphShellRadius","BinsRequested","CommonBins","BHEdges","FlatEdges","BHMeanDegree","FlatMeanDegree","BHComponents","FlatComponents","BHLargestComponentFraction","FlatLargestComponentFraction","BHValidLogCMDFraction","FlatValidLogCMDFraction","BHRadius","FlatRadius","EdgeCountDifference","FlatEdgesTiedAtRadius","XYMismatch","SampleXYHash","CommonProfileHash","SourceCheckpoint"
"Bardeen","g",0.3,3,"Original matched-flat KNN",1000,16,3,12,12,10162,9005,20.324,18.01,1,1,1,1,1,1,0.7930217792068254,,-1157,,8.881784197001252e-16,7.413725372108441e+76,2.5303707331202164e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p3\seed_03.mx"
"Bardeen","g",0.3,4,"Original matched-flat KNN",1000,16,3,12,12,10218,9055,20.436,18.11,1,1,1,1,1,1,0.7947647753489967,,-1163,,8.881784197001252e-16,1.0930062021727885e+77,1.8463584068027384e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p3\seed_04.mx"
"Bardeen","g",0.3,5,"Original matched-flat KNN",1000,16,3,12,12,10157,8977,20.314,17.954,1,1,1,1,1,1,0.8005072576104245,,-1180,,8.881784197001252e-16,3.6137525681300234e+76,4.941600054888822e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p3\seed_05.mx"
"Bardeen","g",0.3,6,"Original matched-flat KNN",1000,16,3,12,12,10204,9048,20.408,18.096,1,1,1,1,1,1,0.7950853936108797,,-1156,,8.881784197001252e-16,1.0778629044762434e+77,2.5283659066295104e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p3\seed_06.mx"
"Bardeen","g",0.3,7,"Original matched-flat KNN",1000,16,3,12,12,10056,9093,20.112,18.186,1,1,1,1,1,1,0.7882060836466642,,-963,,8.881784197001252e-16,1.335246562863172e+76,7.022164596960934e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p3\seed_07.mx"
"Bardeen","g",0.3,8,"Original matched-flat KNN",1000,16,3,12,12,10162,9041,20.324,18.082,1,1,1,1,1,1,0.7861214412277535,,-1121,,8.881784197001252e-16,3.113810890554713e+76,2.622853608937416e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p3\seed_08.mx"
"Bardeen","g",0.3,9,"Original matched-flat KNN",1000,16,3,12,12,10002,9097,20.004,18.194,1,1,1,1,1,1,0.774912025833221,,-905,,8.881784197001252e-16,2.1619982498812847e+75,1.1355781137910288e+77,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p3\seed_09.mx"
"Bardeen","g",0.3,10,"Original matched-flat KNN",1000,16,3,12,12,10206,8978,20.412,17.956,1,1,1,1,1,1,0.8004390283759482,,-1228,,8.881784197001252e-16,6.989702763945915e+76,5.1319477980651054e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p3\seed_10.mx"
"Hayward","ell",0,1,"Original matched-flat KNN",1000,16,3,12,12,10336,9071,20.672,18.142,1,1,1,1,1,1,0.795093971514917,,-1265,,1.3322676295501878e-15,9.937184861691152e+76,1.2161218683939968e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p\seed_01.mx"
"Hayward","ell",0,2,"Original matched-flat KNN",1000,16,3,12,12,10236,9079,20.472,18.158,1,1,1,1,1,1,0.7916049256676947,,-1157,,1.1102230246251565e-15,4.97363664104306e+76,2.258547479248843e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p\seed_02.mx"
