"AuditVersion","Family","ParameterName","ParameterValue","Seed","Protocol","N","M","k","GraphShellRadius","BinsRequested","CommonBins","CommonProfileHash","RhoBH","RhoFlat","DeltaRho","AbsDeltaRho","PearsonBHLogK","SpearmanRhoBH","SpearmanRhoFlat","SpearmanBHLogK","BHEdges","FlatEdges","BHMeanDegree","FlatMeanDegree","BHComponents","FlatComponents","BHLargestComponentFraction","FlatLargestComponentFraction","BHValidLogCMDFraction","FlatValidLogCMDFraction","BHRadius","FlatRadius","BHVertexCount","FlatVertexCount","EdgeCountDifference","FlatEdgesTiedAtRadius","XYMismatch","SampleXYHash","SourceRunner","SourceCheckpoint","RuntimeSeconds"
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,5,"Original matched-flat KNN",1000,0.5,16,3,12,12,"61194138360364715785044756982594539997083428971349580724330319263365015920598",0.041857398878318665,0.4157866103146547,-0.373929211436336,0.373929211436336,-0.20029556691173267,-0.16083916083916083,0.27972027972027974,0.16083916083916083,10134,8977,20.268,17.954,1,1,1,1,1,1,0.8013490045648585,,1000,1000,-1157,,8.881784197001252e-16,"36137525681300234752914550992160990902648500690790775528631141447004538206674","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_05.mx",427.1588846
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,5,"Strict radius",1000,0.5,16,3,12,12,"12329724108021182208507190835203829654851306292704524383516155160890483799546",0.041857398878318665,-0.8344784462870988,0.8763358451654174,0.8763358451654174,-0.20029556691173267,-0.16083916083916083,-0.7902097902097902,0.16083916083916083,10134,10345,20.268,20.69,1,1,1,1,1,1,0.8013490045648585,0.7343473220416076,1000,1000,211,,8.881784197001252e-16,"36137525681300234752914550992160990902648500690790775528631141447004538206674","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_05.mx",427.1588846
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,5,"Pure KNN",1000,0.5,16,3,12,12,"13908760905155218295140287663386084627004137477576957219230844670601840805146",0.034733081740081204,0.41578661031465475,-0.38105352857457353,0.38105352857457353,0.0788032692857484,0.14685314685314685,0.27972027972027974,-0.14685314685314685,8980,8977,17.96,17.954,1,1,1,1,1,1,,,1000,1000,-3,,0,"36137525681300234752914550992160990902648500690790775528631141447004538206674","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_05.mx",427.1588846
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,5,"Mutual KNN",1000,0.5,16,3,12,12,"102579542710348609803650184496263726188972015394689756485655775881368070992992",0.05910024140977769,0.13516854283086438,-0.0760683014210867,0.0760683014210867,-0.0024623877321095344,0.17482517482517482,0.04895104895104895,-0.17482517482517482,7020,7023,14.04,14.046,1,1,1,1,1,1,,,1000,1000,3,,0,"36137525681300234752914550992160990902648500690790775528631141447004538206674","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_05.mx",427.1588846
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,5,"Edge-matched radius",1000,0.5,16,3,12,12,"45673955925523629602406237074929856712683993709447389270114124114756510929061",0.041857398878318665,-0.8398637638824185,0.8817211627607371,0.8817211627607371,-0.20029556691173267,-0.16083916083916083,-0.8111888111888111,0.16083916083916083,10134,10134,20.268,20.268,1,1,1,1,1,1,0.8013490045648585,0.7259635983266225,1000,1000,0,1,0,"36137525681300234752914550992160990902648500690790775528631141447004538206674","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_05.mx",427.1588846
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,6,"Original matched-flat KNN",1000,0.5,16,3,12,12,"6222989207394703986513581964656917268211703861259362269623856333357289354259",0.38670452720579074,0.3287561206470146,0.057948406558776144,0.057948406558776144,-0.5212094278845509,0.26573426573426573,0.4195804195804196,-0.26573426573426573,10194,9048,20.388,18.096,1,1,1,1,1,1,0.7959453513787802,,1000,1000,-1146,,8.881784197001252e-16,"107786290447624340309357422895547464083946400584974267935055979421252293129867","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_06.mx",697.4589499
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,6,"Strict radius",1000,0.5,16,3,12,12,"29355200155418618645462529400768630546867566305362367840371789238327578641097",0.38670452720579074,-0.6040625906182412,0.9907671178240319,0.9907671178240319,-0.5212094278845509,0.26573426573426573,-0.5524475524475524,-0.26573426573426573,10194,10107,20.388,20.214,1,1,1,1,1,1,0.7959453513787802,0.7222749009691105,1000,1000,-87,,8.881784197001252e-16,"107786290447624340309357422895547464083946400584974267935055979421252293129867","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_06.mx",697.4589499
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,6,"Pure KNN",1000,0.5,16,3,12,12,"51345413582216183644747608208123567056670539003892933998567659207571410034132",0.36277760943969084,0.3287561206470146,0.03402148879267625,0.03402148879267625,-0.2957123965085549,0.32867132867132864,0.4195804195804196,-0.32867132867132864,9036,9048,18.072,18.096,1,1,1,1,1,1,,,1000,1000,12,,0,"107786290447624340309357422895547464083946400584974267935055979421252293129867","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_06.mx",697.4589499
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,6,"Mutual KNN",1000,0.5,16,3,12,12,"96705688165494166686565059459654738643887148913372759886852049949318051693122",0.1638659148874888,-0.564690890022312,0.7285568049098008,0.7285568049098008,-0.23883063415326758,0.1958041958041958,-0.5664335664335665,-0.1958041958041958,6964,6952,13.928,13.904,1,1,1,1,1,1,,,1000,1000,-12,,0,"107786290447624340309357422895547464083946400584974267935055979421252293129867","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_06.mx",697.4589499
"2026-08-bardeen-hayward-canonical-v3","Bardeen","g",0.2,6,"Edge-matched radius",1000,0.5,16,3,12,12,"14717901597163978389775714904440165846723823808426094778721325857280843217250",0.38670452720579074,-0.5727373954141664,0.9594419226199571,0.9594419226199571,-0.5212094278845509,0.26573426573426573,-0.5594405594405595,-0.26573426573426573,10194,10194,20.388,20.388,1,1,1,1,1,1,0.7959453513787802,0.7264784922408715,1000,1000,0,1,0,"107786290447624340309357422895547464083946400584974267935055979421252293129867","scripts/run_broader_family_audit.wls","results\bardeen_hayward_audit_multiseed\checkpoints\anchor\bardeen\g_0p2\seed_06.mx",697.4589499
