"AuditVersion","Model","Seed","Protocol","N","k","GraphShellRadius","BinsRequested","CommonBins","RhoBH","RhoFlat","DeltaRho","AbsDeltaRho","BHValidLogCMDFraction","FlatValidLogCMDFraction","BHEdges","FlatEdges","BHMeanDegree","FlatMeanDegree","BHComponents","FlatComponents","BHLargestComponentFraction","FlatLargestComponentFraction","BHRadius","FlatRadius","EdgeCountDifference","FlatEdgesTiedAtRadius","XYMismatch"
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",7,"Strict radius",1000,16,3,12,12,0.750253517956332,0.12238700003754599,0.627866517918786,0.627866517918786,1,1,10056,9988,20.112,19.976,1,1,1,1,0.7899363552358623,0.7167774301582172,-68,,1.3322676295501878e-15
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",7,"Pure KNN",1000,16,3,12,12,0.15706879427613332,0.6602093226585699,-0.5031405283824366,0.5031405283824366,1,1,9099,9093,18.198,18.186,1,1,1,1,,,-6,,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",7,"Mutual KNN",1000,16,3,12,12,0.7947011150696991,-0.21873639527084512,1.0134375103405442,1.0134375103405442,1,1,6901,6907,13.802,13.814,1,1,1,1,,,6,,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",7,"Edge-matched radius",1000,16,3,12,12,0.750253517956332,0.1207177251004284,0.6295357928559036,0.6295357928559036,1,1,10056,10056,20.112,20.112,1,1,1,1,0.7899363552358623,0.7194413386217288,0,1,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",8,"Original matched-flat KNN",1000,16,3,12,12,0.7341789045121724,0.656072513135961,0.07810639137621134,0.07810639137621134,1,1,10152,9041,20.304,18.082,1,1,1,1,0.7874691859184492,,-1111,,1.3322676295501878e-15
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",8,"Strict radius",1000,16,3,12,12,0.7341789045121724,-0.052916756087362904,0.7870956605995353,0.7870956605995353,1,1,10152,10223,20.304,20.446,1,1,1,1,0.7874691859184492,0.7189683320834264,71,,1.3322676295501878e-15
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",8,"Pure KNN",1000,16,3,12,12,0.7356302505844786,0.656072513135961,0.07955773744851757,0.07955773744851757,1,1,9041,9041,18.082,18.082,1,1,1,1,,,0,,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",8,"Mutual KNN",1000,16,3,12,12,0.7715293720426089,0.2626205841618389,0.5089087878807699,0.5089087878807699,1,1,6959,6959,13.918,13.918,1,1,1,1,,,0,,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",8,"Edge-matched radius",1000,16,3,12,12,0.7341789045121724,-0.13599627287804034,0.8701751773902127,0.8701751773902127,1,1,10152,10152,20.304,20.304,1,1,1,1,0.7874691859184492,0.7163569540047621,0,1,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",9,"Original matched-flat KNN",1000,16,3,12,12,0.4916424763255986,0.1846725755500778,0.3069699007755208,0.3069699007755208,1,1,10000,9097,20,18.194,1,1,1,1,0.7763326196190593,,-903,,1.3322676295501878e-15
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",9,"Strict radius",1000,16,3,12,12,0.4916424763255986,0.14146516815924062,0.35017730816635795,0.35017730816635795,1,1,10000,9967,20,19.934,1,1,1,1,0.7763326196190593,0.707947476745789,-33,,1.3322676295501878e-15
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",9,"Pure KNN",1000,16,3,12,12,0.3251451415918454,0.1846725755500778,0.14047256604176758,0.14047256604176758,1,1,9095,9097,18.19,18.194,1,1,1,1,,,2,,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",9,"Mutual KNN",1000,16,3,12,12,0.6492566632818674,0.4086455973970882,0.24061106588477915,0.24061106588477915,1,1,6905,6903,13.81,13.806,1,1,1,1,,,-2,,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",9,"Edge-matched radius",1000,16,3,12,12,0.4916424763255986,0.11823632011689626,0.3734061562087023,0.3734061562087023,1,1,10000,10000,20,20,1,1,1,1,0.7763326196190593,0.7095709409628946,0,1,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",10,"Original matched-flat KNN",1000,16,3,12,12,0.6995977810411369,0.08937355241618929,0.6102242286249476,0.6102242286249476,1,1,10236,8978,20.472,17.956,1,1,1,1,0.8037518399677501,,-1258,,1.3322676295501878e-15
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",10,"Strict radius",1000,16,3,12,12,0.6995977810411369,-0.6621029469239684,1.3617007279651054,1.3617007279651054,1,1,10236,10098,20.472,20.196,1,1,1,1,0.8037518399677501,0.7236085683055373,-138,,1.3322676295501878e-15
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",10,"Pure KNN",1000,16,3,12,12,0.06973142167175711,0.08937355241618929,-0.019642130744432176,0.019642130744432176,1,1,8978,8978,17.956,17.956,1,1,1,1,,,0,,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",10,"Mutual KNN",1000,16,3,12,12,0.6509185438055224,0.015366327078391358,0.635552216727131,0.635552216727131,1,1,7022,7022,14.044,14.044,1,1,1,1,,,0,,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",10,"Edge-matched radius",1000,16,3,12,12,0.6995977810411369,-0.6138888704763338,1.3134866515174708,1.3134866515174708,1,1,10236,10236,20.472,20.472,1,1,1,1,0.8037518399677501,0.7291017990642,0,1,0
